# i 	s 	L 		u 	S 	I 	
1000 	165 	0.096074 	47993 	999 	11 	
1000 	165 	0.099826 	107984 	0 	25 	
1000 	165 	0.096165 	61991 	0 	14 	
1000 	166 	0.093937 	62990 	0 	14 	
1000 	166 	0.095565 	111983 	0 	25 	
1000 	166 	0.09715 	75989 	0 	17 	
1000 	166 	0.096332 	70990 	1000 	16 	
1000 	167 	0.093538 	67990 	0 	15 	
1000 	167 	0.095693 	75989 	0 	17 	
1000 	167 	0.09176 	62990 	0 	14 	
1000 	168 	0.095495 	55991 	0 	12 	
1000 	168 	0.096122 	85987 	2000 	19 	
1000 	168 	0.095057 	59991 	0 	13 	
1000 	169 	0.095395 	94986 	2000 	21 	
1000 	169 	0.099759 	106984 	1000 	22 	
1000 	169 	0.096045 	73989 	1000 	16 	
1000 	169 	0.090956 	60991 	0 	13 	
1000 	170 	0.097402 	96985 	0 	21 	
1000 	170 	0.094397 	64990 	0 	14 	
1000 	170 	0.0954 	112983 	2000 	25 	
1000 	171 	0.085577 	56991 	0 	12 	
1000 	171 	0.099864 	70989 	0 	15 	
1000 	171 	0.095184 	70989 	0 	15 	
1000 	172 	0.099996 	106984 	2000 	23 	
1000 	172 	0.095696 	127981 	0 	27 	
1000 	172 	0.094805 	122981 	0 	26 	
1000 	172 	0.097504 	90986 	0 	19 	
1000 	173 	0.099294 	84987 	1000 	18 	
1000 	173 	0.096155 	89986 	1000 	19 	
1000 	173 	0.099386 	118982 	0 	25 	
1000 	174 	0.090101 	54992 	0 	11 	
